timestamp,session_id,dpid,src_ip,dst_ip,ip_proto,src_port,dst_port,packet_count,byte_count,duration_sec,delta_packets,delta_bytes,packet_rate,byte_rate,avg_packet_size,burst_score,dst_unique_src_count,dst_total_packet_rate,dst_total_byte_rate,dst_active_flow_count,dst_std_packet_rate,dst_cv_packet_rate,label
1783450552.2002816,attacco_distribuito_r3,1,10.0.0.3,10.0.0.4,17,48872,12900,1204,724710,46.168,56,33572,28.09300696724586,16841.757676863894,601.9186046511628,1.0572220166434172,1,28.09300696724586,16841.757676863894,1,0.0,0.0,1
1783450552.2004426,attacco_distribuito_r3,64344802436170,10.0.0.11,10.0.0.4,17,52935,11806,1318,1144553,47.813,53,45302,26.843279800882275,22944.420029048466,868.4013657056146,1.0001549769785176,4,105.34721129402854,69604.11804671035,4,1.6411729800408248,0.060035293470001805,0
1783450552.2004426,attacco_distribuito_r3,64344802436170,10.0.0.12,10.0.0.4,17,56883,12903,1020,610485,46.824,47,29396,23.80441793663145,14888.397226919535,598.5147058823529,1.04744088264186,4,105.34721129402854,69604.11804671035,4,1.6411729800408248,0.060035293470001805,1
1783450552.2004426,attacco_distribuito_r3,64344802436170,10.0.0.3,10.0.0.4,17,48872,12900,1204,724710,46.161,56,33572,28.362710733007685,17003.445084438106,601.9186046511628,1.0645240403782728,4,105.34721129402854,69604.11804671035,4,1.6411729800408248,0.060035293470001805,1
1783450552.2004426,attacco_distribuito_r3,64344802436170,10.0.0.9,10.0.0.4,17,37846,12902,1068,627966,45.51,52,29158,26.336802823507135,14767.855706304252,587.9831460674158,1.0742827655532634,4,105.34721129402854,69604.11804671035,4,1.6411729800408248,0.060035293470001805,1
1783450552.200732,attacco_distribuito_r3,2,10.0.0.11,10.0.0.4,17,52935,11806,1318,1144553,47.806,53,45302,26.778349514516325,22888.920560502236,868.4013657056146,0.9980317259331345,6,143.99678512522928,96067.0762573885,6,3.9000514290786388,0.15600540074865865,0
1783450552.200732,attacco_distribuito_r3,2,10.0.0.6,10.0.0.4,17,59112,11802,1056,893832,47.217,32,25732,16.168060084236274,13001.141315236493,846.4318181818181,0.7190856943230576,6,143.99678512522928,96067.0762573885,6,3.9000514290786388,0.15600540074865865,0
1783450552.200732,attacco_distribuito_r3,2,10.0.0.12,10.0.0.4,17,56883,12903,1019,609704,46.816,46,28615,23.241586371089642,14457.782478450654,598.3356231599607,1.0289698289409683,6,143.99678512522928,96067.0762573885,6,3.9000514290786388,0.15600540074865865,1
1783450552.200732,attacco_distribuito_r3,2,10.0.0.3,10.0.0.4,17,48872,12900,1204,724710,46.154,56,33572,28.294105147413475,16962.31603587438,601.9186046511628,1.0603550874135341,6,143.99678512522928,96067.0762573885,6,3.9000514290786388,0.15600540074865865,1
1783450552.200732,attacco_distribuito_r3,2,10.0.0.5,10.0.0.4,17,38208,12901,1051,616542,45.728,47,28161,23.746838248722025,14228.398126005552,586.6241674595623,1.0209046791863272,6,143.99678512522928,96067.0762573885,6,3.9000514290786388,0.15600540074865865,1
